Id_d,Creador_empresa_si_exite,Origen_FRIJOL_BARRA,REF,Revisar,Porcentaje_Cocoa,Empresa_localidad,Popularidad,Frijo_tipo,Haba_origen,Popularidad_Class
1,A. Morin,Agua Grande,1876,2016,0.63,France,3.75,,Sao Tome,Sastisfactorio
2,A. Morin,Kpime,1676,2015,0.7,France,2.75,,Togo,Decepcionante
3,A. Morin,Atsane,1676,2015,0.7,France,3,,Togo,Sastisfactorio
4,A. Morin,Akata,1680,2015,0.7,France,3.5,,Togo,Sastisfactorio
5,A. Morin,Quilla,1704,2015,0.7,France,3.5,,Peru,Sastisfactorio
6,A. Morin,Carenero,1315,2014,0.7,France,2.75,Criollo,Venezuela,Decepcionante
7,A. Morin,Cuba,1315,2014,0.7,France,3.5,,Cuba,Sastisfactorio
8,A. Morin,Sur del Lago,1315,2014,0.7,France,3.5,Criollo,Venezuela,Sastisfactorio
9,A. Morin,Puerto Cabello,1319,2014,0.7,France,3.75,Criollo,Venezuela,Sastisfactorio
10,A. Morin,Pablino,1319,2014,0.7,France,4,,Peru,Premiun
11,A. Morin,Panama,1011,2013,0.7,France,2.75,,Panama,Decepcionante
12,A. Morin,Madagascar,1011,2013,0.7,France,3,Criollo,Madagascar,Sastisfactorio
13,A. Morin,Brazil,1011,2013,0.7,France,3.25,,Brazil,Sastisfactorio
14,A. Morin,Equateur,1011,2013,0.7,France,3.75,,Ecuador,Sastisfactorio
15,A. Morin,Colombie,1015,2013,0.7,France,2.75,,Colombia,Decepcionante
16,A. Morin,Birmanie,1015,2013,0.7,France,3,,Burma,Sastisfactorio
17,A. Morin,Papua New Guinea,1015,2013,0.7,France,3.25,,Papua New Guinea,Sastisfactorio
18,A. Morin,Chuao,1015,2013,0.7,France,4,Trinitario,Venezuela,Premiun
19,A. Morin,Piura,1019,2013,0.7,France,3.25,,Peru,Sastisfactorio
20,A. Morin,Chanchamayo Province,1019,2013,0.7,France,3.5,,Peru,Sastisfactorio
21,A. Morin,Chanchamayo Province,1019,2013,0.63,France,4,,Peru,Premiun
22,A. Morin,Bolivia,797,2012,0.7,France,3.5,,Bolivia,Sastisfactorio
23,A. Morin,Peru,797,2012,0.63,France,3.75,,Peru,Sastisfactorio
24,Acalli,"Chulucanas, El Platanal",1462,2015,0.7,U.S.A.,3.75,,Peru,Sastisfactorio
25,Acalli,"Tumbes, Norandino",1470,2015,0.7,U.S.A.,3.75,Criollo,Peru,Sastisfactorio
26,Adi,Vanua Levu,705,2011,0.6,Fiji,2.75,Trinitario,Fiji,Decepcionante
27,Adi,"Vanua Levu, Toto-A",705,2011,0.8,Fiji,3.25,Trinitario,Fiji,Sastisfactorio
28,Adi,Vanua Levu,705,2011,0.88,Fiji,3.5,Trinitario,Fiji,Sastisfactorio
29,Adi,"Vanua Levu, Ami-Ami-CA",705,2011,0.72,Fiji,3.5,Trinitario,Fiji,Sastisfactorio
30,Aequare (Gianduja),"Los Rios, Quevedo, Arriba",370,2009,0.55,Ecuador,2.75,Forastero_Arriba,Ecuador,Decepcionante
31,Aequare (Gianduja),"Los Rios, Quevedo, Arriba",370,2009,0.7,Ecuador,3,Forastero_Arriba,Ecuador,Sastisfactorio
32,Ah Cacao,Tabasco,316,2009,0.7,Mexico,3,Criollo,Mexico,Sastisfactorio
33,Akesson's (Pralus),"Bali (west), Sukrama Family, Melaya area",636,2011,0.75,Switzerland,3.75,Trinitario,Indonesia,Sastisfactorio
34,Akesson's (Pralus),"Madagascar, Ambolikapiky P.",502,2010,0.75,Switzerland,2.75,Criollo,Madagascar,Decepcionante
35,Akesson's (Pralus),"Monte Alegre, D. Badero",508,2010,0.75,Switzerland,2.75,Forastero,Brazil,Decepcionante
36,Alain Ducasse,Trinite,1215,2014,0.65,France,2.75,Trinitario,Trinidad,Decepcionante
37,Alain Ducasse,Vietnam,1215,2014,0.75,France,2.75,Trinitario,Vietnam,Decepcionante
38,Alain Ducasse,Madagascar,1215,2014,0.75,France,3,Trinitario,Madagascar,Sastisfactorio
39,Alain Ducasse,Chuao,1061,2013,0.75,France,2.5,Trinitario,Venezuela,Decepcionante
40,Alain Ducasse,"Piura, Perou",1173,2013,0.75,France,2.5,,Peru,Decepcionante
41,Alexandre,"Winak Coop, Napo",1944,2017,0.7,Netherlands,3.5,Forastero_Nacional,Ecuador,Sastisfactorio
42,Alexandre,"La Dalia, Matagalpa",1944,2017,0.7,Netherlands,3.5,Criollo_Trinitario,Nicaragua,Sastisfactorio
43,Alexandre,Tien Giang,1944,2017,0.7,Netherlands,3.5,Trinitario,Vietnam,Sastisfactorio
44,Alexandre,"Makwale Village, Kyela",1944,2017,0.7,Netherlands,3.5,Forastero,Tanzania,Sastisfactorio
45,Altus aka Cao Artisan,Momotombo,1728,2016,0.6,U.S.A.,2.75,,Nicaragua,Decepcionante
46,Altus aka Cao Artisan,Acopagro,1728,2016,0.6,U.S.A.,3,,Peru,Sastisfactorio
